test_id,angle,distance,sample_index,register_value
0,90,0.0,0,10.099153142344228
0,90,0.0,1,10.099153142344228
0,90,0.0,2,10.099153142344228
0,90,0.0,3,10.099153142344228
0,90,0.0,4,10.099153142344228
0,90,0.0,5,10.099153142344228
0,90,0.0,6,10.099153142344228
0,90,0.0,7,10.099153142344228
0,90,0.0,8,10.099153142344228
0,90,0.0,9,10.099153142344228
1,90,5.0,0,0.004039825044588556
1,90,5.0,1,0.004039825044588556
1,90,5.0,2,0.004039825044588556
1,90,5.0,3,0.004039825044588556
1,90,5.0,4,0.004039825044588556
1,90,5.0,5,0.004039825044588556
1,90,5.0,6,0.004039825044588556
1,90,5.0,7,0.004039825044588556
1,90,5.0,8,0.004039825044588556
1,90,5.0,9,0.004039825044588556
2,90,10.0,0,0.0010004583979560543
2,90,10.0,1,0.0010004583979560543
2,90,10.0,2,0.0010004583979560543
2,90,10.0,3,0.0010004583979560543
2,90,10.0,4,0.0010004583979560543
2,90,10.0,5,0.0010004583979560543
2,90,10.0,6,0.0010004583979560543
2,90,10.0,7,0.0010004583979560543
2,90,10.0,8,0.0010004583979560543
2,90,10.0,9,0.0010004583979560543
3,90,15.0,0,0.0004442133591950414
3,90,15.0,1,0.0004442133591950414
3,90,15.0,2,0.0004442133591950414
3,90,15.0,3,0.0004442133591950414
3,90,15.0,4,0.0004442133591950414
3,90,15.0,5,0.0004442133591950414
3,90,15.0,6,0.0004442133591950414
3,90,15.0,7,0.0004442133591950414
3,90,15.0,8,0.0004442133591950414
3,90,15.0,9,0.0004442133591950414
4,90,20.0,0,0.000252156876105539
4,90,20.0,1,0.000252156876105539
4,90,20.0,2,0.000252156876105539
4,90,20.0,3,0.000252156876105539
4,90,20.0,4,0.000252156876105539
4,90,20.0,5,0.000252156876105539
4,90,20.0,6,0.000252156876105539
4,90,20.0,7,0.000252156876105539
4,90,20.0,8,0.000252156876105539
4,90,20.0,9,0.000252156876105539
