angle,distance,noise_level,interference,natural_disturbance,led_beam_width,threshold,signal_strength,received_message,message_success,char_accuracy,bit_errors,total_bits,ber,tx_start_time,tx_end_time,tx_data,rx_start_time,rx_end_time
90,0.0,0.05,0.02,0.01,120,0.5,0.01,,False,0.0,72,8000,0.009,2025-05-20 03:39:12.852,2025-05-20 03:39:13.824,<~!HEllO BRO#,2025-05-20 03:39:13.824,2025-05-20 03:40:15.702
90,5.0,0.05,0.02,0.01,120,0.5,0.01,,False,0.0,72,0,72.0,2025-05-20 03:40:15.702,2025-05-20 03:40:16.667,<~!HEllO BRO#,2025-05-20 03:40:16.667,2025-05-20 03:40:27.138
90,10.0,0.05,0.02,0.01,120,0.5,0.01,,False,0.0,72,0,72.0,2025-05-20 03:40:27.138,2025-05-20 03:40:28.115,<~!HEllO BRO#,2025-05-20 03:40:28.115,2025-05-20 03:40:38.584
90,15.0,0.05,0.02,0.01,120,0.5,0.01,,False,0.0,72,0,72.0,2025-05-20 03:40:38.584,2025-05-20 03:40:39.556,<~!HEllO BRO#,2025-05-20 03:40:39.556,2025-05-20 03:40:49.997
90,20.0,0.05,0.02,0.01,120,0.5,0.01,,False,0.0,72,0,72.0,2025-05-20 03:40:49.997,2025-05-20 03:40:50.980,<~!HEllO BRO#,2025-05-20 03:40:50.980,2025-05-20 03:41:01.532
